x,y
82,199
81,200
80,200
79,201
78,201
76,203
75,203
74,204
73,204
70,207
69,207
63,213
62,213
61,214
61,215
57,219
57,220
56,221
56,222
54,224
54,225
53,226
53,227
52,228
52,229
51,230
51,232
50,233
50,235
49,236
49,240
48,241
48,244
49,245
49,248
50,249
50,251
51,252
51,253
52,254
52,255
57,260
59,260
60,261
62,261
63,262
70,262
71,261
73,261
74,260
75,260
76,259
77,259
84,252
85,252
92,259
93,259
94,260
95,260
96,261
98,261
99,262
106,262
107,261
109,261
110,260
112,260
117,255
117,254
118,253
118,252
119,251
119,249
120,248
120,237
119,236
119,233
118,232
118,230
117,229
117,228
116,227
116,226
115,225
115,224
114,223
114,222
112,220
112,219
108,215
108,214
104,210
103,210
99,206
98,206
96,204
95,204
94,203
93,203
91,201
90,201
89,200
88,200
87,199
x,y
254,138
253,139
252,139
251,140
250,140
249,141
248,141
247,142
246,142
245,143
244,143
242,145
241,145
240,146
239,146
236,149
235,149
232,152
231,152
220,163
220,164
217,167
217,168
215,170
215,171
214,172
214,173
213,174
213,175
212,176
212,177
211,178
211,179
210,180
210,182
209,183
209,185
208,186
208,190
207,191
207,202
208,203
208,205
209,206
209,208
210,209
210,210
212,212
212,213
217,218
218,218
220,220
222,220
223,221
227,221
228,222
233,222
234,221
238,221
239,220
240,220
241,219
243,219
245,217
246,217
253,210
253,209
256,206
259,209
259,210
266,217
267,217
269,219
271,219
272,220
273,220
274,221
278,221
279,222
284,222
285,221
289,221
290,220
292,220
294,218
295,218
301,212
301,211
302,210
302,209
303,208
303,206
304,205
304,201
305,200
305,195
304,194
304,187
303,186
303,183
302,182
302,181
301,180
301,178
300,177
300,176
299,175
299,174
298,173
298,172
297,171
297,170
295,168
295,167
292,164
292,163
281,152
280,152
276,148
275,148
273,146
272,146
271,145
270,145
268,143
267,143
266,142
265,142
263,140
262,140
261,139
259,139
258,138
x,y
138,22
137,23
136,23
135,24
134,24
133,25
132,25
131,26
130,26
129,27
128,27
126,29
125,29
124,30
123,30
121,32
120,32
118,34
117,34
114,37
113,37
110,40
109,40
95,54
95,55
91,59
91,60
89,62
89,63
87,65
87,66
85,68
85,69
84,70
84,71
83,72
83,73
82,74
82,75
81,76
81,77
80,78
80,79
79,80
79,81
78,82
78,84
77,85
77,87
76,88
76,91
75,92
75,95
74,96
74,101
73,102
73,108
74,109
74,115
75,116
75,118
76,119
76,121
77,122
77,124
78,125
78,126
80,128
80,129
82,131
82,132
85,135
86,135
88,137
89,137
91,139
93,139
94,140
96,140
97,141
113,141
114,140
116,140
117,139
118,139
119,138
121,138
123,136
124,136
126,134
127,134
133,128
133,127
135,125
135,124
137,122
137,121
138,120
138,119
140,117
142,119
142,120
143,121
143,122
145,124
145,125
148,128
148,129
153,134
154,134
156,136
157,136
159,138
161,138
162,139
163,139
164,140
166,140
167,141
183,141
184,140
186,140
187,139
189,139
191,137
192,137
193,136
194,136
198,132
198,131
200,129
200,128
202,126
202,124
203,123
203,122
204,121
204,119
205,118
205,114
206,113
206,98
205,97
205,92
204,91
204,89
203,88
203,86
202,85
202,83
201,82
201,80
200,79
200,78
199,77
199,76
198,75
198,74
197,73
197,72
196,71
196,70
195,69
195,68
193,66
193,65
192,64
192,63
189,60
189,59
186,56
186,55
171,40
170,40
166,36
165,36
163,34
162,34
160,32
159,32
157,30
156,30
154,28
153,28
152,27
151,27
150,26
149,26
148,25
147,25
146,24
145,24
144,23
143,23
142,22
