x,y
29,3
30,8
33,9
35,11
34,14
32,15
29,16
29,20
31,22
34,23
35,19
37,18
40,22
40,24
37,29
36,31
34,32
32,31
31,28
29,26
28,25
27,22
26,18
26,14
24,11
22,7
19,5
17,5
16,6
14,7
11,9
9,9
6,9
6,13
7,16
11,17
14,16
16,14
17,13
20,16
21,19
22,21
22,25
23,28
26,30
28,31
31,34
32,37
32,40
28,41
26,40
23,37
21,34
20,33
20,31
16,27
14,24
13,23
10,23
7,22
6,22
3,24
2,28
3,31
5,33
8,31
9,30
11,30
14,31
15,33
15,37
14,40
10,40
8,39
6,38
3,39
1,44
1,45
3,46
7,46
11,45
14,45
17,44
18,42
22,40
23,45
23,50
20,53
17,52
15,52
12,51
10,49
7,50
5,52
4,54
5,56
9,60
11,61
20,60
24,59
28,54
31,50
33,49
36,46
37,43
39,40
40,39
41,38
43,43
43,48
41,53
37,56
34,60
31,63
29,64
28,64
27,65
28,72
31,76
27,81
25,81
23,78
22,75
23,69
22,66
16,66
13,71
15,75
14,79
9,77
8,74
8,68
6,67
5,67
4,68
2,77
2,77
5,83
6,85
6,89
8,93
10,95
12,91
13,90
15,88
18,87
19,89
20,94
22,97
24,97
26,92
26,90
30,88
32,90
32,94
34,96
42,98
42,94
40,90
38,86
38,84
39,81
40,79
38,74
37,73
40,67
40,66
43,62
45,61
47,63
50,69
49,75
48,76
46,80
47,83
48,84
46,88
47,90
49,94
52,95
56,92
58,89
58,85
60,79
59,76
58,71
57,67
55,63
54,60
51,58
50,56
48,52
47,47
47,37
48,36
50,33
52,33
53,35
54,40
54,44
53,46
56,51
58,49
61,44
61,31
59,29
58,26
57,26
54,25
50,26
48,25
46,20
47,15
51,14
56,12
60,14
64,19
65,23
65,28
69,23
70,17
72,12
74,11
76,13
80,20
79,26
76,30
74,30
72,31
68,34
67,41
69,45
74,43
78,39
81,36
83,43
82,47
80,50
77,52
73,53
70,54
66,51
63,52
60,58
60,60
61,63
66,63
71,62
75,60
84,54
85,53
87,50
90,55
91,61
85,67
79,72
75,71
71,71
68,73
66,77
66,81
67,83
69,83
74,79
76,78
79,79
79,84
76,87
72,90
71,90
68,91
68,93
72,95
77,94
79,92
83,89
86,85
87,80
91,83
91,88
89,91
89,95
94,95
95,94
97,87
97,83
95,79
92,75
90,74
93,72
96,71
98,67
98,62
96,58
95,52
94,50
97,46
98,44
98,41
95,39
95,34
97,28
100,22
98,20
95,20
93,22
91,26
90,31
89,35
88,36
85,29
85,25
87,22
90,18
94,14
95,11
94,8
93,6
89,4
87,7
86,11
85,10
84,9
81,5
80,4
73,4
69,9
66,11
63,7
62,2
60,1
56,1
52,4
50,7
45,12
42,8
42,3
41,1
37,2
