x,y
44,443
44,444
43,445
43,446
42,447
42,448
41,449
41,450
40,451
40,452
39,453
39,455
38,456
38,457
37,458
37,459
36,460
36,461
35,462
35,463
34,464
34,465
33,466
33,467
32,468
32,470
31,471
31,472
30,473
30,474
29,475
29,479
63,479
63,475
62,474
62,473
61,472
61,471
60,470
60,468
59,467
59,466
58,465
58,464
57,463
57,462
56,461
56,460
55,459
55,458
54,457
54,456
53,455
53,453
52,452
52,451
51,450
51,449
50,448
50,447
49,446
49,445
48,444
48,443
x,y
x,y
233,430
232,431
231,431
230,432
229,432
228,433
227,433
226,434
225,434
224,435
223,435
222,436
221,436
220,437
219,437
218,438
217,438
215,440
214,440
213,441
212,441
211,442
210,442
209,443
208,443
207,444
206,444
205,445
204,445
203,446
202,446
201,447
200,447
200,449
199,450
199,453
198,454
198,457
197,458
197,461
196,462
196,465
195,466
195,472
196,473
196,474
197,475
197,476
198,477
198,478
199,479
199,480
200,481
200,482
201,483
201,484
202,485
202,486
203,487
203,488
204,489
204,490
205,491
205,492
209,492
211,490
212,490
216,486
217,486
222,481
223,481
225,479
225,470
224,469
224,459
226,457
228,457
229,458
235,458
238,461
238,474
239,475
239,483
240,484
240,486
242,486
243,487
245,487
246,488
249,488
250,489
252,489
253,490
259,490
259,489
260,488
260,487
261,486
261,485
263,483
263,482
264,481
264,480
265,479
265,478
266,477
266,476
267,475
267,474
268,473
268,472
269,471
269,470
270,469
270,464
269,463
269,461
268,460
268,458
267,457
267,454
266,453
266,451
265,450
265,448
264,447
264,445
263,444
263,442
262,441
262,439
261,439
260,438
258,438
257,437
255,437
254,436
251,436
250,435
248,435
247,434
246,434
245,433
243,433
242,432
241,432
240,431
239,431
238,430
x,y
x,y
147,425
146,426
138,426
137,427
134,427
133,428
130,428
129,429
127,429
126,430
124,430
123,431
120,431
119,432
117,432
116,433
114,433
113,434
111,434
110,435
107,435
106,436
104,436
103,437
101,437
100,438
99,438
99,442
100,443
100,444
101,445
101,446
102,447
102,448
103,449
103,450
104,451
104,452
105,453
105,454
106,455
106,456
107,457
107,458
108,459
108,460
109,461
109,462
110,463
110,464
114,464
116,462
117,462
119,460
120,460
123,457
124,457
125,456
126,456
132,462
132,463
139,470
139,472
137,474
137,475
136,476
136,477
134,479
134,480
132,482
132,483
131,484
131,488
138,488
139,489
154,489
155,490
167,490
167,486
166,485
166,484
165,483
165,481
164,480
164,479
163,478
163,477
162,476
162,474
161,473
161,472
160,471
160,470
159,469
159,468
158,467
158,465
157,464
157,463
156,462
156,461
153,458
152,458
146,452
145,452
144,451
145,450
146,450
147,449
148,449
149,448
152,448
153,447
155,447
156,446
158,446
159,445
161,445
161,441
160,440
160,439
159,438
159,437
158,436
158,435
157,434
157,433
155,431
155,430
154,429
154,428
153,427
153,426
151,426
150,425
x,y
x,y
358,407
357,408
355,408
353,410
352,410
350,412
349,412
347,414
346,414
344,416
343,416
341,418
340,418
338,420
337,420
336,421
335,421
330,416
330,415
323,408
319,408
312,415
311,415
297,429
296,429
290,435
290,437
289,438
289,439
290,440
290,449
291,450
291,456
292,457
292,459
293,460
294,460
296,462
297,462
300,465
301,465
303,467
304,467
306,469
307,469
310,472
311,472
313,474
314,474
316,476
320,476
320,475
322,473
322,472
323,471
323,470
324,469
324,468
325,467
325,466
327,464
327,463
328,462
328,461
329,460
329,456
321,448
320,448
318,446
317,446
316,445
318,443
327,443
328,442
336,442
337,441
339,443
338,444
338,445
337,446
337,453
336,454
336,462
335,463
336,464
336,466
337,467
337,468
338,469
338,470
339,471
339,472
340,473
340,474
348,474
349,473
355,473
356,472
363,472
364,471
367,471
367,462
366,461
366,452
365,451
365,446
364,445
364,444
362,442
362,441
361,440
361,439
359,437
359,436
361,434
362,434
363,433
366,433
367,432
371,432
372,431
373,431
377,435
377,436
379,438
379,439
382,442
382,443
384,445
384,446
386,448
386,449
387,450
391,450
391,438
390,437
390,420
389,419
389,411
387,411
386,410
380,410
379,409
370,409
369,408
360,408
359,407
x,y
x,y
441,386
440,387
439,387
438,388
437,388
435,390
434,390
433,391
432,391
431,392
430,392
429,393
428,393
426,395
425,395
424,396
423,396
423,397
422,398
422,399
420,401
420,402
419,403
419,404
418,405
418,406
417,407
417,408
416,409
416,410
414,412
414,413
413,414
413,415
412,416
412,417
411,418
411,420
410,421
410,428
409,429
409,440
408,441
408,443
409,444
409,446
410,446
411,447
412,447
413,448
414,448
415,449
416,449
417,450
418,450
420,452
421,452
422,453
423,453
424,454
425,454
426,455
427,455
428,456
429,456
430,457
431,457
432,458
433,458
434,459
438,459
439,458
440,458
442,456
443,456
444,455
445,455
447,453
448,453
449,452
450,452
452,450
453,450
454,449
455,449
457,447
458,447
458,420
456,420
455,419
454,419
453,420
443,420
442,419
444,417
444,416
446,414
446,413
448,411
448,410
450,408
450,407
451,406
451,402
450,401
450,399
449,398
449,396
448,395
448,394
447,393
447,391
446,390
446,388
445,387
445,386
x,y
x,y
64,376
61,379
61,380
54,387
54,388
47,395
47,396
40,403
40,404
36,408
36,412
42,412
43,411
46,411
47,410
50,410
51,409
54,409
55,408
59,408
60,407
62,407
66,411
67,411
78,422
79,422
84,427
88,427
88,423
87,422
87,420
86,419
86,418
85,417
85,416
84,415
84,413
83,412
83,411
82,410
82,409
81,408
81,406
80,405
80,404
79,403
79,402
78,401
78,399
77,398
77,397
76,396
76,395
75,394
75,392
74,391
74,390
73,389
73,388
72,387
72,385
71,384
71,383
70,382
70,381
69,380
69,378
68,377
68,376
x,y
x,y
259,356
258,357
255,357
254,358
251,358
250,359
248,359
247,360
244,360
243,361
241,361
240,362
237,362
236,363
234,363
233,364
230,364
229,365
228,365
228,369
229,370
229,372
230,373
230,374
231,375
231,376
232,377
232,378
233,379
233,380
234,381
234,383
235,384
235,385
236,386
236,387
237,388
237,389
238,389
239,390
240,390
241,391
242,391
243,392
244,392
245,393
246,393
247,394
248,394
249,395
250,395
251,396
252,396
253,397
254,397
255,398
257,398
258,399
259,399
260,400
261,400
262,401
263,401
264,402
265,402
266,403
267,403
268,404
269,404
270,405
271,405
272,406
276,406
278,404
278,403
282,399
282,398
286,394
286,393
290,389
290,388
294,384
294,383
296,381
296,377
295,377
293,375
292,375
290,373
289,373
287,371
286,371
284,369
283,369
281,367
280,367
278,365
277,365
275,363
274,363
272,361
271,361
269,359
268,359
267,358
266,358
264,356
x,y
x,y
364,350
363,351
362,351
361,352
360,352
359,353
358,353
357,354
356,354
355,355
354,355
353,356
352,356
351,357
350,357
349,358
348,358
347,359
346,359
345,360
344,360
343,361
343,362
341,364
341,365
338,368
338,369
336,371
336,372
334,374
334,378
342,378
343,377
351,377
352,376
359,376
360,377
360,378
361,379
361,383
362,384
362,388
363,389
363,392
364,393
364,396
365,397
365,399
369,399
370,398
372,398
373,397
374,397
375,396
376,396
377,395
378,395
379,394
381,394
382,393
383,393
384,392
385,392
386,391
388,391
389,390
390,390
391,389
392,389
392,386
393,385
393,379
394,378
394,372
395,371
395,363
394,363
393,362
392,362
391,361
390,361
389,360
388,360
387,359
386,359
385,358
384,358
383,357
382,357
381,356
380,356
379,355
378,355
377,354
375,354
374,353
373,353
372,352
371,352
370,351
369,351
368,350
x,y
x,y
177,339
176,340
175,340
173,342
172,342
171,343
170,343
168,345
167,345
165,347
164,347
