x,y
247,178
247,180
246,181
246,240
247,241
247,243
248,242
249,243
249,178
x,y
276,174
276,176
285,185
286,185
293,192
294,192
302,200
303,200
311,208
312,208
319,215
320,215
327,222
330,222
330,219
329,218
328,218
321,211
320,211
312,203
311,203
303,195
302,195
295,188
294,188
286,180
285,180
279,174
x,y
228,170
227,171
227,172
226,173
226,175
225,176
225,177
224,178
224,180
223,181
223,182
222,183
222,185
221,186
221,187
220,188
220,190
219,191
219,192
218,193
218,195
217,196
217,198
216,199
216,200
215,201
215,203
214,204
214,205
213,206
213,208
212,209
212,210
211,211
211,213
210,214
210,215
209,216
209,218
208,219
208,223
210,223
211,222
211,220
212,219
212,218
213,217
213,216
214,215
214,213
215,212
215,211
216,210
216,208
217,207
217,206
218,205
218,203
219,202
219,201
220,200
220,197
222,195
222,192
223,191
223,190
224,189
224,188
225,187
225,185
226,184
226,183
227,182
227,180
228,179
228,178
229,177
229,175
230,174
230,170
x,y
263,169
263,177
264,178
264,183
265,184
265,189
266,190
266,195
267,196
267,201
268,202
268,207
269,208
269,213
270,214
270,219
271,220
271,225
272,226
272,231
273,232
273,235
274,236
274,238
276,238
276,232
275,231
275,226
274,225
274,220
273,219
273,214
272,213
272,208
271,207
271,202
270,201
270,196
269,195
269,190
268,189
268,184
267,183
267,178
266,177
266,172
265,171
265,169
x,y
211,168
209,170
209,171
187,193
187,194
168,213
168,216
171,216
173,214
173,213
195,191
195,190
214,171
214,168
x,y
153,141
152,142
150,142
150,144
175,144
176,145
205,145
204,144
205,143
203,143
202,142
176,142
175,141
x,y
325,111
322,114
321,114
317,118
316,118
311,123
310,123
306,127
305,127
301,131
300,131
296,135
295,135
290,140
289,140
284,145
283,145
284,146
283,147
287,147
290,144
291,144
295,140
296,140
301,135
302,135
306,131
307,131
311,127
312,127
316,123
317,123
322,118
323,118
328,113
329,113
328,112
329,111
x,y
298,98
298,99
294,103
294,104
291,107
291,108
289,110
289,111
286,114
286,115
283,118
283,119
280,122
280,123
277,126
277,127
275,129
275,130
272,133
272,134
269,137
269,138
266,141
266,142
264,144
264,145
261,148
261,149
259,151
259,154
261,154
265,150
265,149
268,146
268,145
270,143
270,142
273,139
273,138
276,135
276,134
279,131
279,130
282,127
282,126
284,124
284,123
287,120
287,119
290,116
290,115
293,112
293,111
296,108
296,107
298,105
298,104
300,102
300,98
299,99
x,y
256,96
256,98
255,99
255,111
254,112
254,134
253,135
253,143
254,144
254,146
255,145
256,146
256,135
257,134
257,112
258,111
258,96
x,y
223,93
223,95
222,96
222,99
223,100
223,114
224,115
224,128
225,129
225,137
226,138
226,140
228,140
228,130
227,129
227,115
226,114
226,101
225,100
225,93
